	at TRANSFORMER/net.minecraftforge.forge@53.1.0/net.minecraftforge.registries.DeferredRegister$EventDispatcher.lambda$handleEvent$0(DeferredRegister.java:381) ~[forge-1.21.3-53.1.0_mapped_official_1.21.3-recomp.jar%231!/:?]
	at TRANSFORMER/net.minecraftforge.forge@53.1.0/net.minecraftforge.registries.RegisterEvent.register(RegisterEvent.java:55) ~[forge-1.21.3-53.1.0_mapped_official_1.21.3-recomp.jar%231!/:?]
	at TRANSFORMER/net.minecraftforge.forge@53.1.0/net.minecraftforge.registries.DeferredRegister$EventDispatcher.handleEvent(DeferredRegister.java:381) ~[forge-1.21.3-53.1.0_mapped_official_1.21.3-recomp.jar%231!/:?]
	at TRANSFORMER/net.minecraftforge.forge@53.1.0/net.minecraftforge.registries.__EventDispatcher_handleEvent_RegisterEvent.invoke(.dynamic) ~[forge-1.21.3-53.1.0_mapped_official_1.21.3-recomp.jar%231!/:?]
	at SECURE-BOOTSTRAP/net.minecraftforge.eventbus/net.minecraftforge.eventbus.ASMEventHandler.invoke(ASMEventHandler.java:46) ~[eventbus-6.2.27.jar:?]
	at SECURE-BOOTSTRAP/net.minecraftforge.eventbus/net.minecraftforge.eventbus.EventBus.post(EventBus.java:302) ~[eventbus-6.2.27.jar:?]
	at SECURE-BOOTSTRAP/net.minecraftforge.eventbus/net.minecraftforge.eventbus.EventBus.post(EventBus.java:288) ~[eventbus-6.2.27.jar:?]
	at LAYER PLUGIN/net.minecraftforge.javafmlmod@1.21.3-53.1.0/net.minecraftforge.fml.javafmlmod.FMLModContainer.acceptEvent(FMLModContainer.java:184) ~[javafmllanguage-1.21.3-53.1.0.jar:53.1.0]
	at LAYER PLUGIN/net.minecraftforge.fmlcore@1.21.3-53.1.0/net.minecraftforge.fml.ModLoader.lambda$postEventWithWrapInModOrder$19(ModLoader.java:400) ~[fmlcore-1.21.3-53.1.0.jar:1.0]
	at java.base/java.lang.Iterable.forEach(Iterable.java:75) ~[?:?]
	at LAYER PLUGIN/net.minecraftforge.fmlcore@1.21.3-53.1.0/net.minecraftforge.fml.ModList.forEachModInOrder(ModList.java:148) ~[fmlcore-1.21.3-53.1.0.jar:1.0]
	at LAYER PLUGIN/net.minecraftforge.fmlcore@1.21.3-53.1.0/net.minecraftforge.fml.ModLoader.postEventWithWrapInModOrder(ModLoader.java:398) ~[fmlcore-1.21.3-53.1.0.jar:1.0]
	at LAYER PLUGIN/net.minecraftforge.fmlcore@1.21.3-53.1.0/net.minecraftforge.fml.ModLoader.postEventWrapContainerInModOrder(ModLoader.java:387) ~[fmlcore-1.21.3-53.1.0.jar:1.0]
	at TRANSFORMER/net.minecraftforge.forge@53.1.0/net.minecraftforge.registries.GameData.postRegisterEvents(GameData.java:351) ~[forge-1.21.3-53.1.0_mapped_official_1.21.3-recomp.jar:?]
	at TRANSFORMER/net.minecraftforge.forge@53.1.0/net.minecraftforge.common.ForgeStatesProvider.lambda$gather$0(ForgeStatesProvider.java:34) ~[forge-1.21.3-53.1.0_mapped_official_1.21.3-recomp.jar:?]
	at LAYER PLUGIN/net.minecraftforge.fmlcore@1.21.3-53.1.0/net.minecraftforge.fml.ModLoader.handleInlineTransition(ModLoader.java:258) ~[fmlcore-1.21.3-53.1.0.jar:1.0]
	at LAYER PLUGIN/net.minecraftforge.fmlcore@1.21.3-53.1.0/net.minecraftforge.fml.ModLoader.dispatchAndHandleError(ModLoader.java:247) ~[fmlcore-1.21.3-53.1.0.jar:1.0]
	at LAYER PLUGIN/net.minecraftforge.fmlcore@1.21.3-53.1.0/net.minecraftforge.fml.ModLoader.gatherAndInitializeMods(ModLoader.java:214) ~[fmlcore-1.21.3-53.1.0.jar:1.0]
	at TRANSFORMER/net.minecraftforge.forge@53.1.0/net.minecraftforge.data.loading.DatagenModLoader.begin(DatagenModLoader.java:46) ~[forge-1.21.3-53.1.0_mapped_official_1.21.3-recomp.jar:?]
